Steps,Draw Type,X1,Y1,Z1,X2,Y2,Z2,X3,Y3,Z3
1,3_point_circle_1,49.0,160.0,33.0,-24.5,202.435,33.0,-24.5,117.565,33.0
2,3_point_arc_1,47.294,123.077,33.0,0.0,220.0,33.0,-47.294,123.077,33.0
3,3_point_arc_2,33.685,92.99,33.0,38.69,108.847,33.0,47.294,123.077,33.0
4,Line,33.685,92.99,33.0,35.669,94.025,33.0,NA,NA,NA
5,Line,35.669,94.025,33.0,37.62,95.118,33.0,NA,NA,NA
6,Line,37.62,95.118,33.0,39.538,96.268,33.0,NA,NA,NA
7,Line,39.538,96.268,33.0,45.939,100.109,33.0,NA,NA,NA
8,3_point_arc_3,45.939,100.109,33.0,42.583,83.691,33.0,43.898,66.986,33.0
9,3_point_arc_4,39.538,63.732,33.0,37.469,80.0,33.0,39.538,96.268,33.0
10,Line,43.898,59.486,33.0,43.898,66.986,33.0,NA,NA,NA
11,Line,36.898,59.486,33.0,43.898,59.486,33.0,NA,NA,NA
12,3_point_arc_5,36.898,59.486,33.0,0.0,70.0,33.0,-36.898,59.486,33.0
13,3_point_arc_6,-39.538,63.732,33.0,0.0,75.0,33.0,39.538,63.732,33.0
14,Line,-36.898,59.486,33.0,-43.898,59.486,33.0,NA,NA,NA
15,Line,-43.898,59.486,33.0,-43.898,66.986,33.0,NA,NA,NA
16,3_point_arc_7,-43.898,66.986,33.0,-42.583,83.691,33.0,-45.939,100.109,33.0
17,3_point_arc_8,-39.538,96.268,33.0,-37.469,80.0,33.0,-39.538,63.732,33.0
18,Line,-39.538,96.268,33.0,-45.939,100.109,33.0,NA,NA,NA
19,Line,-37.62,95.118,33.0,-39.538,96.268,33.0,NA,NA,NA
20,Line,-35.669,94.025,33.0,-37.62,95.118,33.0,NA,NA,NA
21,Line,-33.685,92.99,33.0,-35.669,94.025,33.0,NA,NA,NA
22,3_point_arc_9,-33.685,92.99,33.0,-38.69,108.847,33.0,-47.294,123.077,33.0
